Authors,Genres,Number Of Books
Kevin Henkes,"animals,authorship,cats,creative ability,humorous stories,pets,picture books for children,storytelling,age:max:5,age:min:1,animal babies,animales,animals,award:caldecott_award,cats,children's audiobooks,collectionid:caldecott00,ficción juvenil,gatitos,grade:max:undefined,grade:min:preschool and up,infancia,infancy,juvenile materials,kittens,lexile:450,lexile_range:401-500,moon,new experience,picture books,social themes,spanish language materials,toy and movable books,adventure and adventurers,maestros,marriage,mice,novela infantil,ratones,reading materials,spanish language,spanish language materials,teachers,weddings,enseignants,escuelas,escuelas -- ficción juvenil.,etc. pour la jeunesse,ficción juvenil,girls,maestros,maestros -- ficción juvenil.,mice,nouvelles,ratones,romans,school stories,schools,spanish language materials,teachers,toy and movable books,écoles,enseignants,escuelas,escuelas -- ficción juvenil.,etc. pour la jeunesse,ficción juvenil,girls,maestros,maestros -- ficción juvenil.,mice,nouvelles,ratones,romans,school stories,schools,spanish language materials,teachers,toy and movable books,écoles,dolls,families,family life,gifts,girls,mice,names,personal,personal names,age:max:9,award:theodor_seuss_geisel_award,beginner,emotions & feelings,family,grade:max:3,grade:min:preschool,happiness,imagination,juvenile,lexile_range:401-500,lost and found possessions,lost articles,mice,mothers and daughters,reader,social themes,board books,brothers and sisters,candy,mice,sharing,sisters,amusements,animals,children's parties,emotions,emotions & feelings,first day of school,guinea pigs,hamsters,mice,school stories,schools,self-esteem & self-reliance,social themes,worry",8
Calvin Cruz,"accelerated reader,best friends,emotions & feelings,family life,friendship,friendship in children,humorous stories,mice,social themes,education,transportation,juvenile literature",3
Erica S Perl,"animals,juvenile literature,adventure, animals, friendship, humorous stories, juvenile literature",2
Stephanie Simpson McLellan,"chickens,humorous stories,pictorial works,stories in rhyme,acceptation de soi,courage,etc. pour la jeunesse,frogs,grenouilles,livres d'images pour enfants,nouvelles,picture books,picture books for children,romans,self-acceptance,humorous stories, adventure stories, juvenile literature, friendship, mystery and detective stories",3
Doreen Cronin,"anecdotes,conduct of life,teenagers,animals,christmas,christmas stories,domestic animals,ducks,santa claus,animales domésticos,animals,board books,cattle,collectionid:caldecotthonor00,cows,domestic animals,ducks,farm animals,farms,ficción juvenil,friendship,huelgas y lockouts,humorous stories,mecanografía,máquinas de escribir,novela juvenil,oversize books,phonics,pictorial works,readers,strikes and lockouts,typewriters,typewriting,vacas,diaries,etc. pour la jeunesse,flies,insects,nouvelles,romans,araignées,diaries,etc. pour la jeunesse,insectes,insects,nouvelles,romans,spiders,animales domésticos,contests,cows,domestic animals,farm animals,farm life,farmers,ficción,humorous stories,picture books,singing,spanish language materials,talent shows,animales domésticos,domestic animals,ducks,ficción juvenil,new york times reviewed,novela juvenil,patos,pictorial works,spanish language materials,chickens,detective and mystery stories,dogs,humorous stories,mystery and detective stories,animals,ducks,elections,ficción juvenil,patos,picture books,politics,practical politics,spanish language materials,picture books, animals, adventure, humor,juvenile literature, animals, humorous stories,adventure and adventurers, humorous stories, mystery and detective stories, survival,family life, humor, children's literature, picture books, parenting",13
Patricia Polacco,"abuelas,african americans,afronorteamericanos,amistad,chickens,easter,eggs,family life,ficción juvenil,friendship,grandmothers,race relations,relaciones raciales,spanish language materials,abuelas,african americans,afronorteamericanos,amistad,chickens,easter,eggs,family life,ficción juvenil,friendship,grandmothers,race relations,relaciones raciales,spanish language materials,poetry,poetry (poetic works by one author),restaurants,stories in rhyme,african americans,afro-americans,blacks,cats,friendship,jews,women,adventure and adventurers,baking,cake,chinese language materials,farms,fear,food,girls,grandmothers,immigrants,intergenerational relations,lightning,new york times reviewed,thunderstorms,christmas,christmas stories,grandparents,hanukkah,jews,juvenile,michigan,united states,women authors,fiction, friendship, adventure, humor,fiction, friendship, adventure, humor",7
Rachael Bell,"anecdotes,athletes,caricatures and cartoons,catholic church,catholics,christmas,college students,conduct of life,dating (social customs),family relationships,high school students,high schools,inspiration,interpersonal relations,literary collections,miscellanea,pictorial american wit and humor,psychology,self-improvement,spiritual life,sports,sportsmanship,teachers,teaching,teenagers,women,youth,animales domésticos,animals,board books,cattle,collectionid:caldecotthonor00,cows,domestic animals,ducks,farm animals,farms,ficción juvenil,friendship,huelgas y lockouts,humorous stories,mecanografía,máquinas de escribir,novela juvenil,oversize books,phonics,pictorial works,readers,strikes and lockouts,typewriters,typewriting,vacas,detective and mystery stories,england,english literature,false imprisonment,general,hercule (fictitious character),hercule poirot (fictitious character),investigation,large type books,mothers and daughters,murder,mystery,mystery & detective,open library staff picks,poirot,private investigators,traditional,women sleuths,adventure,androids,androidy,artificial life,bounty hunters,chr 1982,control systems,deckard,films,general,istoty pozaziemskie,large type books,literary collections,long now manual for civilization,mark b. (donor) (adams collection copy),media tie-in,motion pictures,movie-tv tie-in,movies,novelization,open_syllabus_project,pro adams,rick (fictitious character),rick deckard (fictitious character),robotic pets,robots,san francisco (stany zjednoczone,san francisco (stany zjednoczone),stan kalifornia),twenty-first century,clothing and dress,costume,domestic animals,farm life,thanksgiving day,turkeys",5
Diane Snowball,"anecdotes,athletes,caricatures and cartoons,catholic church,catholics,christmas,college students,conduct of life,dating (social customs),family relationships,high school students,high schools,inspiration,interpersonal relations,literary collections,miscellanea,pictorial american wit and humor,psychology,self-improvement,spiritual life,sports,sportsmanship,teachers,teaching,teenagers,women,youth",1
Peter Brown,"bears,humorous stories,juvenile works,lost children,missing children,new york times bestseller,pets,animals,bears,children's stories,determination (personality trait),friendship,humorous stories,juvenile works,new york times bestseller,persistence,pictorial works",2
Linda Crew,"asian americans,children",1
Philip J Carter,"children's questions and answers,puzzles,questions and answers",1
John McIlwain,"children's encyclopedias and dictionaries,english language,juvenile dictionaries",1
Michael S Dahl,"20th century,china,histoire,historia,history,juvenile literature, adventure and adventurers, friendship, animals, general",2
Jonathan Clements,"china,description and travel,manners and customs,social life and customs,travel",1
Heather C Hudak,"china,chinese new year,juvenile literature,new year,social life and customs,united states,juvenile literature,native peoples,citizenship,juvenile literature,animals, juvenile literature, friendship, family life",4
Madeleine Thien,"canada,emigration and immigration,fathers and daughters,immigrants",1
Ian Fleming,"automobiles,fantasy,inventors,single-parent families",1
Saviour Pirotta,"accelerated reader,accessible book,avarice,behavior,candy,candy industry,charlie bucket (fictitious character),children's middle grade action & adventure books,children's picture books,children's plays,childrens media tie-in books,chocolat,chocolate,chocolate factories,chocolate industry,conduct of life,conducta,cuentos humorísticos,eccentrics and eccentricities,etc. pour la jeunesse,factories,fantasy,ficción juvenil,general,grandparent and child,human behavior,humorous stories,humourous stories,in library,industrie,juvenile,juvenile literature,juvenile works,literatura angielska dla młodzieży,literatura juvenil,morale pratique,nouvelles,open library staff picks,overdrive,plays,protected daisy,romans,récits humoristiques,short stories,spanish language materials,tłumaczenia polskie,willy wonka (fictitious character),wonka bars",1
Jennifer McGrath Kent,"adventure stories,canada,etc. pour la jeunesse,nouvelles,rescue work,rescues,roman d'aventures,romans,sauvetages",1
Amy Krouse Rosenthal,"humorous stories,animals,ducks,geese,humorous stories,identification,imagination & play,juvenile literature,new york times bestseller,picture books for children,rabbits,belief and doubt,fantasy,girls,new york times bestseller,unicorns,juvenile literature, friendship, picture books, humorous stories,humorous stories, picture books, friendship, children's stories,humorous stories, picture books, childrens stories",6
Philip Wilkinson,"christianity,historia,history,large type books,popular works,theology,biography, history, religion, social themes, juvenile literature",2
Frank Daniel,"christmas,christmas stories,england,english literature,ficción,general,hercule (fictitious character),hercule poirot (fictitious character),investigadores privados,large type books,murder,mystery,mystery & detective,navidad,poirot,police procedural,private investigators,religious,traditional",1
Carolyn Wells,"alphabet,alphabet books,american,american poetry,children's poetry,christmas,juvenile poetry,poetry",1
Mary D Lankford,"christmas,christmas decorations,juvenile literature",1
